algo,reward,seed,final_step,final_eval_return,win_rate,draw_rate,loss_rate,mean_len,run_dir
a2c,r0,0,499968,-0.05125,0.42685,0.09505,0.4781,1.52435,results/a2c_r0_seed0_20260116-124456
a2c,r0,1,499968,-0.05175,0.4266,0.09505,0.47835,1.5512,results/a2c_r0_seed1_20260116-130853
a2c,r0,2,499968,-0.0513,0.4248,0.0991,0.4761,1.56215,results/a2c_r0_seed2_20260116-133243
a2c,r1,0,499968,-0.0501,0.42685,0.0962,0.47695,1.5506,results/a2c_r1_seed0_20260116-202333
a2c,r1,1,499968,-0.05435,0.42685,0.09195,0.4812,1.51025,results/a2c_r1_seed1_20260116-131657
a2c,r1,2,499968,-0.04825,0.42905,0.09365,0.4773,1.53195,results/a2c_r1_seed2_20260116-134039
a2c,r2,0,499968,-0.058,0.42355,0.0949,0.48155,1.55305,results/a2c_r2_seed0_20260116-130056
a2c,r2,1,499968,-0.0535,0.42535,0.0958,0.47885,1.56035,results/a2c_r2_seed1_20260116-132448
a2c,r2,2,499968,-0.05305,0.4245,0.09795,0.47755,1.56775,results/a2c_r2_seed2_20260116-134835
doubleq,r0,0,500000,-0.0641,0.4211,0.0937,0.4852,1.56925,results/doubleq_r0_seed0_20260116-124434
doubleq,r0,1,500000,-0.05485,0.4257,0.09375,0.48055,1.57115,results/doubleq_r0_seed1_20260116-130830
doubleq,r0,2,500000,-0.04445,0.43065,0.09425,0.4751,1.5797,results/doubleq_r0_seed2_20260116-133221
doubleq,r1,0,500000,-0.05945,0.4247,0.09115,0.48415,1.54755,results/doubleq_r1_seed0_20260116-125235
doubleq,r1,1,500000,-0.05115,0.4261,0.09665,0.47725,1.5746,results/doubleq_r1_seed1_20260116-131633
doubleq,r1,2,500000,-0.0478,0.4282,0.0958,0.476,1.57505,results/doubleq_r1_seed2_20260116-134016
doubleq,r2,0,500000,-0.06605,0.4211,0.09175,0.48715,1.53975,results/doubleq_r2_seed0_20260116-130033
doubleq,r2,1,500000,-0.0543,0.42515,0.0954,0.47945,1.58255,results/doubleq_r2_seed1_20260116-132425
doubleq,r2,2,500000,-0.04675,0.42795,0.09735,0.4747,1.59045,results/doubleq_r2_seed2_20260116-134812
