step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.06435,0.4202,0.09525,0.48455,1.5453
50000,50000,0.050000000000000044,-0.06855,0.4203,0.09085,0.48885,1.51825
75000,75000,0.050000000000000044,-0.06455,0.42135,0.09275,0.4859,1.54505
100000,100000,0.050000000000000044,-0.06165,0.4236,0.09115,0.48525,1.5455
125000,125000,0.050000000000000044,-0.05325,0.4256,0.09555,0.47885,1.5699
150000,150000,0.050000000000000044,-0.0567,0.42475,0.0938,0.48145,1.5689
175000,175000,0.050000000000000044,-0.06265,0.4215,0.09435,0.48415,1.58345
200000,200000,0.050000000000000044,-0.05765,0.42445,0.09345,0.4821,1.5709
225000,225000,0.050000000000000044,-0.04735,0.4277,0.09725,0.47505,1.59485
250000,250000,0.050000000000000044,-0.0541,0.42435,0.0972,0.47845,1.5786
275000,275000,0.050000000000000044,-0.0602,0.4226,0.0946,0.4828,1.56805
300000,300000,0.050000000000000044,-0.06285,0.42075,0.09565,0.4836,1.58385
325000,325000,0.050000000000000044,-0.0516,0.4255,0.0974,0.4771,1.58415
350000,350000,0.050000000000000044,-0.06215,0.4234,0.09105,0.48555,1.59295
375000,375000,0.050000000000000044,-0.0592,0.4232,0.0944,0.4824,1.5949
400000,400000,0.050000000000000044,-0.0653,0.4192,0.0963,0.4845,1.59775
425000,425000,0.050000000000000044,-0.0559,0.42285,0.0984,0.47875,1.60465
450000,450000,0.050000000000000044,-0.05325,0.4248,0.09715,0.47805,1.5897
475000,475000,0.050000000000000044,-0.0487,0.42805,0.0952,0.47675,1.58005
500000,500000,0.050000000000000044,-0.0641,0.4211,0.0937,0.4852,1.56925
