trial,lr,gamma,gae_lambda,entropy_coef,hidden1,hidden2,mean_eval_return
1,0.0017673129706469385,0.95,0.95,0.02,128,128,-0.05135
2,0.0005221245678881259,0.99,0.95,0.02,128,128,-0.0497
3,0.0020753479129496663,0.95,0.95,0.0,64,64,-0.05325
4,0.0013074179834607039,0.95,0.95,0.0,128,128,-0.05508333333333334
5,0.001196878285253249,0.99,0.97,0.0,128,128,-0.051166666666666666
6,0.0003331138520530091,0.95,0.97,0.01,128,128,-0.05536666666666667
7,0.0004507251273602936,0.95,0.97,0.0,128,128,-0.05276666666666666
8,0.00013733266673609582,0.95,0.97,0.01,128,128,-0.08705
9,0.0016716673831733881,0.95,0.97,0.01,128,128,-0.05363333333333333
10,0.0010948770705738267,0.95,0.97,0.0,64,64,-0.04898333333333333
11,0.0002251462199589956,0.99,0.9,0.0,64,64,-0.08153333333333333
12,0.002931626693307887,0.95,0.95,0.02,128,128,-0.0626
