alpha,gamma,eps_end,eps_decay_episodes,eps_start,mean_eval_return
0.05,0.95,0.05,50000,1.0,-0.05065
0.05,0.95,0.05,200000,1.0,-0.05686666666666667
0.05,0.95,0.01,50000,1.0,-0.05963333333333334
0.05,0.95,0.01,200000,1.0,-0.05818333333333334
0.05,0.99,0.05,50000,1.0,-0.05726666666666667
0.05,0.99,0.05,200000,1.0,-0.06063333333333334
0.05,0.99,0.01,50000,1.0,-0.0588
0.05,0.99,0.01,200000,1.0,-0.05676666666666667
0.05,1.0,0.05,50000,1.0,-0.059133333333333336
0.05,1.0,0.05,200000,1.0,-0.06005
0.05,1.0,0.01,50000,1.0,-0.055299999999999995
0.05,1.0,0.01,200000,1.0,-0.05836666666666667
0.1,0.95,0.05,50000,1.0,-0.054049999999999994
0.1,0.95,0.05,200000,1.0,-0.06526666666666667
0.1,0.95,0.01,50000,1.0,-0.05354999999999999
0.1,0.95,0.01,200000,1.0,-0.06358333333333334
0.1,0.99,0.05,50000,1.0,-0.064
0.1,0.99,0.05,200000,1.0,-0.07198333333333333
0.1,0.99,0.01,50000,1.0,-0.0612
0.1,0.99,0.01,200000,1.0,-0.05876666666666667
0.1,1.0,0.05,50000,1.0,-0.06166666666666667
0.1,1.0,0.05,200000,1.0,-0.06663333333333334
0.1,1.0,0.01,50000,1.0,-0.061099999999999995
0.1,1.0,0.01,200000,1.0,-0.06403333333333333
0.2,0.95,0.05,50000,1.0,-0.0679
0.2,0.95,0.05,200000,1.0,-0.07056666666666667
0.2,0.95,0.01,50000,1.0,-0.06981666666666667
0.2,0.95,0.01,200000,1.0,-0.07176666666666666
0.2,0.99,0.05,50000,1.0,-0.06121666666666667
0.2,0.99,0.05,200000,1.0,-0.07816666666666666
0.2,0.99,0.01,50000,1.0,-0.07128333333333332
0.2,0.99,0.01,200000,1.0,-0.06976666666666667
0.2,1.0,0.05,50000,1.0,-0.06696666666666667
0.2,1.0,0.05,200000,1.0,-0.07243333333333334
0.2,1.0,0.01,50000,1.0,-0.061883333333333325
0.2,1.0,0.01,200000,1.0,-0.0778
