trial,lr,gamma,gae_lambda,entropy_coef,hidden1,hidden2,mean_eval_return
1,0.0001,0.95,0.9,0.0,64,64,-0.18569999999999998
2,0.0001,0.95,0.9,0.0,128,128,-0.18569999999999998
3,0.0001,0.95,0.9,0.01,64,64,-0.18569999999999998
4,0.0001,0.95,0.9,0.01,128,128,-0.18569999999999998
5,0.0001,0.95,0.97,0.0,64,64,-0.18569999999999998
6,0.0001,0.95,0.97,0.0,128,128,-0.18569999999999998
7,0.0001,0.95,0.97,0.01,64,64,-0.18569999999999998
8,0.0001,0.95,0.97,0.01,128,128,-0.17976666666666666
9,0.0001,0.99,0.9,0.0,64,64,-0.18569999999999998
10,0.0001,0.99,0.9,0.0,128,128,-0.18569999999999998
11,0.0001,0.99,0.9,0.01,64,64,-0.18569999999999998
12,0.0001,0.99,0.9,0.01,128,128,-0.18569999999999998
13,0.0001,0.99,0.97,0.0,64,64,-0.18569999999999998
14,0.0001,0.99,0.97,0.0,128,128,-0.18569999999999998
15,0.0001,0.99,0.97,0.01,64,64,-0.18569999999999998
16,0.0001,0.99,0.97,0.01,128,128,-0.18569999999999998
17,0.0001,1.0,0.9,0.0,64,64,-0.18569999999999998
18,0.0001,1.0,0.9,0.0,128,128,-0.18569999999999998
19,0.0001,1.0,0.9,0.01,64,64,-0.18569999999999998
20,0.0001,1.0,0.9,0.01,128,128,-0.18569999999999998
21,0.0001,1.0,0.97,0.0,64,64,-0.18569999999999998
22,0.0001,1.0,0.97,0.0,128,128,-0.18569999999999998
23,0.0001,1.0,0.97,0.01,64,64,-0.18569999999999998
24,0.0001,1.0,0.97,0.01,128,128,-0.18569999999999998
25,0.0003,0.95,0.9,0.0,64,64,-0.05528333333333333
26,0.0003,0.95,0.9,0.0,128,128,-0.05206666666666667
27,0.0003,0.95,0.9,0.01,64,64,-0.057416666666666664
28,0.0003,0.95,0.9,0.01,128,128,-0.051050000000000005
29,0.0003,0.95,0.97,0.0,64,64,-0.06066666666666667
30,0.0003,0.95,0.97,0.0,128,128,-0.056133333333333334
31,0.0003,0.95,0.97,0.01,64,64,-0.05505000000000001
32,0.0003,0.95,0.97,0.01,128,128,-0.05741666666666667
33,0.0003,0.99,0.9,0.0,64,64,-0.058350000000000006
34,0.0003,0.99,0.9,0.0,128,128,-0.05565
35,0.0003,0.99,0.9,0.01,64,64,-0.06195
36,0.0003,0.99,0.9,0.01,128,128,-0.057216666666666666
37,0.0003,0.99,0.97,0.0,64,64,-0.05716666666666667
38,0.0003,0.99,0.97,0.0,128,128,-0.05465
39,0.0003,0.99,0.97,0.01,64,64,-0.052199999999999996
40,0.0003,0.99,0.97,0.01,128,128,-0.05173333333333333
41,0.0003,1.0,0.9,0.0,64,64,-0.05931666666666666
42,0.0003,1.0,0.9,0.0,128,128,-0.05673333333333333
43,0.0003,1.0,0.9,0.01,64,64,-0.05705
44,0.0003,1.0,0.9,0.01,128,128,-0.05198333333333333
45,0.0003,1.0,0.97,0.0,64,64,-0.05878333333333333
46,0.0003,1.0,0.97,0.0,128,128,-0.055016666666666665
47,0.0003,1.0,0.97,0.01,64,64,-0.06021666666666667
48,0.0003,1.0,0.97,0.01,128,128,-0.05385
49,0.001,0.95,0.9,0.0,64,64,-0.050050000000000004
50,0.001,0.95,0.9,0.0,128,128,-0.05355000000000001
51,0.001,0.95,0.9,0.01,64,64,-0.054266666666666664
52,0.001,0.95,0.9,0.01,128,128,-0.052116666666666665
53,0.001,0.95,0.97,0.0,64,64,-0.05329999999999999
54,0.001,0.95,0.97,0.0,128,128,-0.05193333333333333
55,0.001,0.95,0.97,0.01,64,64,-0.05305000000000001
56,0.001,0.95,0.97,0.01,128,128,-0.05246666666666666
57,0.001,0.99,0.9,0.0,64,64,-0.054266666666666664
58,0.001,0.99,0.9,0.0,128,128,-0.054933333333333334
59,0.001,0.99,0.9,0.01,64,64,-0.0535
60,0.001,0.99,0.9,0.01,128,128,-0.05538333333333333
61,0.001,0.99,0.97,0.0,64,64,-0.05346666666666666
62,0.001,0.99,0.97,0.0,128,128,-0.05893333333333334
63,0.001,0.99,0.97,0.01,64,64,-0.05313333333333333
64,0.001,0.99,0.97,0.01,128,128,-0.0496
65,0.001,1.0,0.9,0.0,64,64,-0.052199999999999996
66,0.001,1.0,0.9,0.0,128,128,-0.05581666666666666
67,0.001,1.0,0.9,0.01,64,64,-0.05578333333333333
68,0.001,1.0,0.9,0.01,128,128,-0.05128333333333333
69,0.001,1.0,0.97,0.0,64,64,-0.05333333333333334
70,0.001,1.0,0.97,0.0,128,128,-0.05598333333333333
71,0.001,1.0,0.97,0.01,64,64,-0.0532
72,0.001,1.0,0.97,0.01,128,128,-0.052083333333333336
73,0.002,0.95,0.9,0.0,64,64,-0.05538333333333333
74,0.002,0.95,0.9,0.0,128,128,-0.05525
75,0.002,0.95,0.9,0.01,64,64,-0.05291666666666667
76,0.002,0.95,0.9,0.01,128,128,-0.05203333333333334
77,0.002,0.95,0.97,0.0,64,64,-0.05361666666666667
78,0.002,0.95,0.97,0.0,128,128,-0.058883333333333336
79,0.002,0.95,0.97,0.01,64,64,-0.05383333333333332
80,0.002,0.95,0.97,0.01,128,128,-0.05878333333333333
81,0.002,0.99,0.9,0.0,64,64,-0.057633333333333335
82,0.002,0.99,0.9,0.0,128,128,-0.050199999999999995
83,0.002,0.99,0.9,0.01,64,64,-0.0526
84,0.002,0.99,0.9,0.01,128,128,-0.057083333333333326
85,0.002,0.99,0.97,0.0,64,64,-0.055299999999999995
86,0.002,0.99,0.97,0.0,128,128,-0.05291666666666667
87,0.002,0.99,0.97,0.01,64,64,-0.053
88,0.002,0.99,0.97,0.01,128,128,-0.0605
89,0.002,1.0,0.9,0.0,64,64,-0.052616666666666666
90,0.002,1.0,0.9,0.0,128,128,-0.056799999999999996
91,0.002,1.0,0.9,0.01,64,64,-0.05448333333333333
92,0.002,1.0,0.9,0.01,128,128,-0.055
93,0.002,1.0,0.97,0.0,64,64,-0.049666666666666665
94,0.002,1.0,0.97,0.0,128,128,-0.054016666666666664
95,0.002,1.0,0.97,0.01,64,64,-0.05383333333333334
96,0.002,1.0,0.97,0.01,128,128,-0.05435
