alpha,gamma,eps_end,eps_decay_episodes,eps_start,mean_eval_return
0.02,0.95,0.01,50000,1.0,-0.055600000000000004
0.02,0.95,0.01,100000,1.0,-0.05431666666666666
0.02,0.95,0.01,200000,1.0,-0.057
0.02,0.95,0.01,300000,1.0,-0.05895
0.02,0.95,0.05,50000,1.0,-0.055316666666666674
0.02,0.95,0.05,100000,1.0,-0.0536
0.02,0.95,0.05,200000,1.0,-0.0539
0.02,0.95,0.05,300000,1.0,-0.057499999999999996
0.02,0.99,0.01,50000,1.0,-0.06261666666666667
0.02,0.99,0.01,100000,1.0,-0.05616666666666667
0.02,0.99,0.01,200000,1.0,-0.05691666666666667
0.02,0.99,0.01,300000,1.0,-0.05828333333333333
0.02,0.99,0.05,50000,1.0,-0.05561666666666667
0.02,0.99,0.05,100000,1.0,-0.05481666666666666
0.02,0.99,0.05,200000,1.0,-0.055766666666666666
0.02,0.99,0.05,300000,1.0,-0.060983333333333334
0.02,1.0,0.01,50000,1.0,-0.058883333333333336
0.02,1.0,0.01,100000,1.0,-0.05936666666666666
0.02,1.0,0.01,200000,1.0,-0.055333333333333325
0.02,1.0,0.01,300000,1.0,-0.056799999999999996
0.02,1.0,0.05,50000,1.0,-0.05691666666666667
0.02,1.0,0.05,100000,1.0,-0.05381666666666666
0.02,1.0,0.05,200000,1.0,-0.051116666666666664
0.02,1.0,0.05,300000,1.0,-0.05176666666666666
0.05,0.95,0.01,50000,1.0,-0.05958333333333333
0.05,0.95,0.01,100000,1.0,-0.05793333333333334
0.05,0.95,0.01,200000,1.0,-0.060783333333333335
0.05,0.95,0.01,300000,1.0,-0.06488333333333333
0.05,0.95,0.05,50000,1.0,-0.05656666666666666
0.05,0.95,0.05,100000,1.0,-0.06058333333333333
0.05,0.95,0.05,200000,1.0,-0.055933333333333335
0.05,0.95,0.05,300000,1.0,-0.0612
0.05,0.99,0.01,50000,1.0,-0.057749999999999996
0.05,0.99,0.01,100000,1.0,-0.056666666666666664
0.05,0.99,0.01,200000,1.0,-0.05623333333333334
0.05,0.99,0.01,300000,1.0,-0.05988333333333334
0.05,0.99,0.05,50000,1.0,-0.05948333333333333
0.05,0.99,0.05,100000,1.0,-0.056633333333333334
0.05,0.99,0.05,200000,1.0,-0.06325
0.05,0.99,0.05,300000,1.0,-0.06443333333333333
0.05,1.0,0.01,50000,1.0,-0.058883333333333336
0.05,1.0,0.01,100000,1.0,-0.05216666666666667
0.05,1.0,0.01,200000,1.0,-0.058916666666666666
0.05,1.0,0.01,300000,1.0,-0.0567
0.05,1.0,0.05,50000,1.0,-0.05535
0.05,1.0,0.05,100000,1.0,-0.058249999999999996
0.05,1.0,0.05,200000,1.0,-0.06153333333333333
0.05,1.0,0.05,300000,1.0,-0.058166666666666665
0.1,0.95,0.01,50000,1.0,-0.056683333333333336
0.1,0.95,0.01,100000,1.0,-0.05938333333333334
0.1,0.95,0.01,200000,1.0,-0.060200000000000004
0.1,0.95,0.01,300000,1.0,-0.06701666666666667
0.1,0.95,0.05,50000,1.0,-0.053233333333333334
0.1,0.95,0.05,100000,1.0,-0.05873333333333333
0.1,0.95,0.05,200000,1.0,-0.06426666666666667
0.1,0.95,0.05,300000,1.0,-0.06633333333333334
0.1,0.99,0.01,50000,1.0,-0.056299999999999996
0.1,0.99,0.01,100000,1.0,-0.06076666666666666
0.1,0.99,0.01,200000,1.0,-0.06651666666666667
0.1,0.99,0.01,300000,1.0,-0.06545
0.1,0.99,0.05,50000,1.0,-0.06133333333333333
0.1,0.99,0.05,100000,1.0,-0.05448333333333333
0.1,0.99,0.05,200000,1.0,-0.06811666666666667
0.1,0.99,0.05,300000,1.0,-0.07203333333333334
0.1,1.0,0.01,50000,1.0,-0.05884999999999999
0.1,1.0,0.01,100000,1.0,-0.06088333333333334
0.1,1.0,0.01,200000,1.0,-0.06799999999999999
0.1,1.0,0.01,300000,1.0,-0.06548333333333334
0.1,1.0,0.05,50000,1.0,-0.06336666666666667
0.1,1.0,0.05,100000,1.0,-0.06371666666666667
0.1,1.0,0.05,200000,1.0,-0.0712
0.1,1.0,0.05,300000,1.0,-0.06495
0.2,0.95,0.01,50000,1.0,-0.06808333333333333
0.2,0.95,0.01,100000,1.0,-0.06641666666666667
0.2,0.95,0.01,200000,1.0,-0.07421666666666667
0.2,0.95,0.01,300000,1.0,-0.07840000000000001
0.2,0.95,0.05,50000,1.0,-0.07383333333333332
0.2,0.95,0.05,100000,1.0,-0.0645
0.2,0.95,0.05,200000,1.0,-0.07306666666666667
0.2,0.95,0.05,300000,1.0,-0.08125
0.2,0.99,0.01,50000,1.0,-0.06916666666666667
0.2,0.99,0.01,100000,1.0,-0.0623
0.2,0.99,0.01,200000,1.0,-0.05861666666666667
0.2,0.99,0.01,300000,1.0,-0.08191666666666668
0.2,0.99,0.05,50000,1.0,-0.07116666666666667
0.2,0.99,0.05,100000,1.0,-0.07268333333333334
0.2,0.99,0.05,200000,1.0,-0.06505
0.2,0.99,0.05,300000,1.0,-0.08058333333333334
0.2,1.0,0.01,50000,1.0,-0.06523333333333334
0.2,1.0,0.01,100000,1.0,-0.0605
0.2,1.0,0.01,200000,1.0,-0.07881666666666666
0.2,1.0,0.01,300000,1.0,-0.07458333333333333
0.2,1.0,0.05,50000,1.0,-0.07125
0.2,1.0,0.05,100000,1.0,-0.06901666666666666
0.2,1.0,0.05,200000,1.0,-0.08005000000000001
0.2,1.0,0.05,300000,1.0,-0.08885
